id,value,category,timestamp
144,value144,category4,2023-01-25
145,value145,category0,2023-01-26
146,value146,category1,2023-01-27
147,value147,category2,2023-01-28
148,value148,category3,2023-01-29
149,value149,category4,2023-01-30
150,value150,category0,2023-01-01
151,value151,category1,2023-01-02
152,value152,category2,2023-01-03
153,value153,category3,2023-01-04
154,value154,category4,2023-01-05
155,value155,category0,2023-01-06
156,value156,category1,2023-01-07
157,value157,category2,2023-01-08
158,value158,category3,2023-01-09
159,value159,category4,2023-01-10
160,value160,category0,2023-01-11
161,value161,category1,2023-01-12
162,value162,category2,2023-01-13
163,value163,category3,2023-01-14
164,value164,category4,2023-01-15
165,value165,category0,2023-01-16
166,value166,category1,2023-01-17
167,value167,category2,2023-01-18
168,value168,category3,2023-01-19
169,value169,category4,2023-01-20
170,value170,category0,2023-01-21
171,value171,category1,2023-01-22
172,value172,category2,2023-01-23
173,value173,category3,2023-01-24
174,value174,category4,2023-01-25
175,value175,category0,2023-01-26
176,value176,category1,2023-01-27
177,value177,category2,2023-01-28
178,value178,category3,2023-01-29
179,value179,category4,2023-01-30
180,value180,category0,2023-01-01
181,value181,category1,2023-01-02
182,value182,category2,2023-01-03
183,value183,category3,2023-01-04
184,value184,category4,2023-01-05
185,value185,category0,2023-01-06
186,value186,category1,2023-01-07
187,value187,category2,2023-01-08
188,value188,category3,2023-01-09
189,value189,category4,2023-01-10
190,value190,category0,2023-01-11
191,value191,category1,2023-01-12
192,value192,category2,2023-01-13
193,value193,category3,2023-01-14
194,value194,category4,2023-01-15
195,value195,category0,2023-01-16
196,value196,category1,2023-01-17
197,value197,category2,2023-01-18
198,value198,category3,2023-01-19
199,value199,category4,2023-01-20
200,value200,category0,2023-01-21
201,value201,category1,2023-01-22
202,value202,category2,2023-01-23
203,value203,category3,2023-01-24
204,value204,category4,2023-01-25
205,value205,category0,2023-01-26
206,value206,category1,2023-01-27
207,value207,category2,2023-01-28
208,value208,category3,2023-01-29
209,value209,category4,2023-01-30
210,value210,category0,2023-01-01
211,value211,category1,2023-01-02
212,value212,category2,2023-01-03
213,value213,category3,2023-01-04
214,value214,category4,2023-01-05
215,value215,category0,2023-01-06
216,value216,category1,2023-01-07
217,value217,category2,2023-01-08
218,value218,category3,2023-01-09
219,value219,category4,2023-01-10
220,value220,category0,2023-01-11
221,value221,category1,2023-01-12
222,value222,category2,2023-01-13
223,value223,category3,2023-01-14
224,value224,category4,2023-01-15
225,value225,category0,2023-01-16
226,value226,category1,2023-01-17
227,value227,category2,2023-01-18
228,value228,category3,2023-01-19
229,value229,category4,2023-01-20
230,value230,category0,2023-01-21
231,value231,category1,2023-01-22
232,value232,category2,2023-01-23
233,value233,category3,2023-01-24
234,value234,category4,2023-01-25
235,value235,category0,2023-01-26
236,value236,category1,2023-01-27
237,value237,category2,2023-01-28
238,value238,category3,2023-01-29
239,value239,category4,2023-01-30
240,value240,category0,2023-01-01
241,value241,category1,2023-01-02
242,value242,category2,2023-01-03
243,value243,category3,2023-01-04
244,value244,category4,2023-01-05
245,value245,category0,2023-01-06
246,value246,category1,2023-01-07
247,value247,category2,2023-01-08
248,value248,category3,2023-01-09
249,value249,category4,2023-01-10
250,value250,category0,2023-01-11
251,value251,category1,2023-01-12
252,value252,category2,2023-01-13
253,value253,category3,2023-01-14
254,value254,category4,2023-01-15
255,value255,category0,2023-01-16
256,value256,category1,2023-01-17
257,value257,category2,2023-01-18
258,value258,category3,2023-01-19
259,value259,category4,2023-01-20
260,value260,category0,2023-01-21
261,value261,category1,2023-01-22
262,value262,category2,2023-01-23
263,value263,category3,2023-01-24
264,value264,category4,2023-01-25
265,value265,category0,2023-01-26
266,value266,category1,2023-01-27
267,value267,category2,2023-01-28
268,value268,category3,2023-01-29
269,value269,category4,2023-01-30
270,value270,category0,2023-01-01
271,value271,category1,2023-01-02
272,value272,category2,2023-01-03
273,value273,category3,2023-01-04
274,value274,category4,2023-01-05
275,value275,category0,2023-01-06
276,value276,category1,2023-01-07
277,value277,category2,2023-01-08
278,value278,category3,2023-01-09
279,value279,category4,2023-01-10
280,value280,category0,2023-01-11
281,value281,category1,2023-01-12
282,value282,category2,2023-01-13
283,value283,category3,2023-01-14
284,value284,category4,2023-01-15
285,value285,category0,2023-01-16
286,value286,category1,2023-01-17
287,value287,category2,2023-01-18
288,value288,category3,2023-01-19
289,value289,category4,2023-01-20
290,value290,category0,2023-01-21
291,value291,category1,2023-01-22
292,value292,category2,2023-01-23
293,value293,category3,2023-01-24
294,value294,category4,2023-01-25
295,value295,category0,2023-01-26
296,value296,category1,2023-01-27
297,value297,category2,2023-01-28
298,value298,category3,2023-01-29
299,value299,category4,2023-01-30
300,value300,category0,2023-01-01
301,value301,category1,2023-01-02
302,value302,category2,2023-01-03
303,value303,category3,2023-01-04
304,value304,category4,2023-01-05
305,value305,category0,2023-01-06
306,value306,category1,2023-01-07
307,value307,category2,2023-01-08
308,value308,category3,2023-01-09
309,value309,category4,2023-01-10
310,value310,category0,2023-01-11
311,value311,category1,2023-01-12
312,value312,category2,2023-01-13
313,value313,category3,2023-01-14
314,value314,category4,2023-01-15
315,value315,category0,2023-01-16
316,value316,category1,2023-01-17
317,value317,category2,2023-01-18
318,value318,category3,2023-01-19
319,value319,category4,2023-01-20
320,value320,category0,2023-01-21
321,value321,category1,2023-01-22
322,value322,category2,2023-01-23
323,value323,category3,2023-01-24
324,value324,category4,2023-01-25
325,value325,category0,2023-01-26
326,value326,category1,2023-01-27
327,value327,category2,2023-01-28
328,value328,category3,2023-01-29
329,value329,category4,2023-01-30
330,value330,category0,2023-01-01
331,value331,category1,2023-01-02
332,value332,category2,2023-01-03
333,value333,category3,2023-01-04
334,value334,category4,2023-01-05
335,value335,category0,2023-01-06
336,value336,category1,2023-01-07
337,value337,category2,2023-01-08
338,value338,category3,2023-01-09
339,value339,category4,2023-01-10
340,value340,category0,2023-01-11
341,value341,category1,2023-01-12
342,value342,category2,2023-01-13
343,value343,category3,2023-01-14
344,value344,category4,2023-01-15
345,value345,category0,2023-01-16
346,value346,category1,2023-01-17
347,value347,category2,2023-01-18
348,value348,category3,2023-01-19
349,value349,category4,2023-01-20
350,value350,category0,2023-01-21
351,value351,category1,2023-01-22
352,value352,category2,2023-01-23
353,value353,category3,2023-01-24
354,value354,category4,2023-01-25
355,value355,category0,2023-01-26
356,value356,category1,2023-01-27
357,value357,category2,2023-01-28
358,value358,category3,2023-01-29
359,value359,category4,2023-01-30
360,value360,category0,2023-01-01
361,value361,category1,2023-01-02
362,value362,category2,2023-01-03
363,value363,category3,2023-01-04
364,value364,category4,2023-01-05
365,value365,category0,2023-01-06
366,value366,category1,2023-01-07
367,value367,category2,2023-01-08
368,value368,category3,2023-01-09
369,value369,category4,2023-01-10
370,value370,category0,2023-01-11
371,value371,category1,2023-01-12
372,value372,category2,2023-01-13
373,value373,category3,2023-01-14
374,value374,category4,2023-01-15
375,value375,category0,2023-01-16
376,value376,category1,2023-01-17
377,value377,category2,2023-01-18
378,value378,category3,2023-01-19
379,value379,category4,2023-01-20
380,value380,category0,2023-01-21
381,value381,category1,2023-01-22
382,value382,category2,2023-01-23
383,value383,category3,2023-01-24
384,value384,category4,2023-01-25
385,value385,category0,2023-01-26
386,value386,category1,2023-01-27
387,value387,category2,2023-01-28
388,value388,category3,2023-01-29
389,value389,category4,2023-01-30
390,value390,category0,2023-01-01
391,value391,category1,2023-01-02
392,value392,category2,2023-01-03
393,value393,category3,2023-01-04
394,value394,category4,2023-01-05
395,value395,category0,2023-01-06
396,value396,category1,2023-01-07
397,value397,category2,2023-01-08
398,value398,category3,2023-01-09
399,value399,category4,2023-01-10
400,value400,category0,2023-01-11
401,value401,category1,2023-01-12
402,value402,category2,2023-01-13
403,value403,category3,2023-01-14
404,value404,category4,2023-01-15
405,value405,category0,2023-01-16
406,value406,category1,2023-01-17
407,value407,category2,2023-01-18
408,value408,category3,2023-01-19
409,value409,category4,2023-01-20
410,value410,category0,2023-01-21
411,value411,category1,2023-01-22
412,value412,category2,2023-01-23
413,value413,category3,2023-01-24
414,value414,category4,2023-01-25
415,value415,category0,2023-01-26
416,value416,category1,2023-01-27
417,value417,category2,2023-01-28
418,value418,category3,2023-01-29
419,value419,category4,2023-01-30
420,value420,category0,2023-01-01
421,value421,category1,2023-01-02
422,value422,category2,2023-01-03
423,value423,category3,2023-01-04
424,value424,category4,2023-01-05
425,value425,category0,2023-01-06
426,value426,category1,2023-01-07
427,value427,category2,2023-01-08
428,value428,category3,2023-01-09
429,value429,category4,2023-01-10
430,value430,category0,2023-01-11
431,value431,category1,2023-01-12
432,value432,category2,2023-01-13
433,value433,category3,2023-01-14
434,value434,category4,2023-01-15
435,value435,category0,2023-01-16
436,value436,category1,2023-01-17
437,value437,category2,2023-01-18
438,value438,category3,2023-01-19
439,value439,category4,2023-01-20
440,value440,category0,2023-01-21
441,value441,category1,2023-01-22
442,value442,category2,2023-01-23
443,value443,category3,2023-01-24
444,value444,category4,2023-01-25
445,value445,category0,2023-01-26
446,value446,category1,2023-01-27
447,value447,category2,2023-01-28
448,value448,category3,2023-01-29
449,value449,category4,2023-01-30
450,value450,category0,2023-01-01
451,value451,category1,2023-01-02
452,value452,category2,2023-01-03
453,value453,category3,2023-01-04
454,value454,category4,2023-01-05
455,value455,category0,2023-01-06
456,value456,category1,2023-01-07
457,value457,category2,2023-01-08
458,value458,category3,2023-01-09
459,value459,category4,2023-01-10
460,value460,category0,2023-01-11
461,value461,category1,2023-01-12
462,value462,category2,2023-01-13
463,value463,category3,2023-01-14
464,value464,category4,2023-01-15
465,value465,category0,2023-01-16
466,value466,category1,2023-01-17
467,value467,category2,2023-01-18
468,value468,category3,2023-01-19
469,value469,category4,2023-01-20
470,value470,category0,2023-01-21
471,value471,category1,2023-01-22
472,value472,category2,2023-01-23
473,value473,category3,2023-01-24
474,value474,category4,2023-01-25
475,value475,category0,2023-01-26
476,value476,category1,2023-01-27
477,value477,category2,2023-01-28
478,value478,category3,2023-01-29
479,value479,category4,2023-01-30
480,value480,category0,2023-01-01
481,value481,category1,2023-01-02
482,value482,category2,2023-01-03
483,value483,category3,2023-01-04
484,value484,category4,2023-01-05
485,value485,category0,2023-01-06
486,value486,category1,2023-01-07
487,value487,category2,2023-01-08
488,value488,category3,2023-01-09
489,value489,category4,2023-01-10
490,value490,category0,2023-01-11
491,value491,category1,2023-01-12
492,value492,category2,2023-01-13
493,value493,category3,2023-01-14
494,value494,category4,2023-01-15
495,value495,category0,2023-01-16
496,value496,category1,2023-01-17
497,value497,category2,2023-01-18
498,value498,category3,2023-01-19
499,value499,category4,2023-01-20
500,value500,category0,2023-01-21
501,value501,category1,2023-01-22
502,value502,category2,2023-01-23
503,value503,category3,2023-01-24
504,value504,category4,2023-01-25
505,value505,category0,2023-01-26
506,value506,category1,2023-01-27
507,value507,category2,2023-01-28
508,value508,category3,2023-01-29
509,value509,category4,2023-01-30
510,value510,category0,2023-01-01
511,value511,category1,2023-01-02
512,value512,category2,2023-01-03
513,value513,category3,2023-01-04
514,value514,category4,2023-01-05
515,value515,category0,2023-01-06
516,value516,category1,2023-01-07
517,value517,category2,2023-01-08
518,value518,category3,2023-01-09
519,value519,category4,2023-01-10
520,value520,category0,2023-01-11
521,value521,category1,2023-01-12
522,value522,category2,2023-01-13
523,value523,category3,2023-01-14
524,value524,category4,2023-01-15
525,value525,category0,2023-01-16
526,value526,category1,2023-01-17
527,value527,category2,2023-01-18
528,value528,category3,2023-01-19
529,value529,category4,2023-01-20
530,value530,category0,2023-01-21
531,value531,category1,2023-01-22
532,value532,category2,2023-01-23
533,value533,category3,2023-01-24
534,value534,category4,2023-01-25
535,value535,category0,2023-01-26
536,value536,category1,2023-01-27
537,value537,category2,2023-01-28
538,value538,category3,2023-01-29
539,value539,category4,2023-01-30
540,value540,category0,2023-01-01
541,value541,category1,2023-01-02
542,value542,category2,2023-01-03
543,value543,category3,2023-01-04
544,value544,category4,2023-01-05
545,value545,category0,2023-01-06
546,value546,category1,2023-01-07
547,value547,category2,2023-01-08
548,value548,category3,2023-01-09
549,value549,category4,2023-01-10
550,value550,category0,2023-01-11
551,value551,category1,2023-01-12
552,value552,category2,2023-01-13
553,value553,category3,2023-01-14
554,value554,category4,2023-01-15
555,value555,category0,2023-01-16
556,value556,category1,2023-01-17
557,value557,category2,2023-01-18
558,value558,category3,2023-01-19
559,value559,category4,2023-01-20
560,value560,category0,2023-01-21
561,value561,category1,2023-01-22
562,value562,category2,2023-01-23
563,value563,category3,2023-01-24
564,value564,category4,2023-01-25
565,value565,category0,2023-01-26
566,value566,category1,2023-01-27
567,value567,category2,2023-01-28
568,value568,category3,2023-01-29
569,value569,category4,2023-01-30
570,value570,category0,2023-01-01
571,value571,category1,2023-01-02
572,value572,category2,2023-01-03
573,value573,category3,2023-01-04
574,value574,category4,2023-01-05
575,value575,category0,2023-01-06
576,value576,category1,2023-01-07
577,value577,category2,2023-01-08
578,value578,category3,2023-01-09
579,value579,category4,2023-01-10
580,value580,category0,2023-01-11
581,value581,category1,2023-01-12
582,value582,category2,2023-01-13
583,value583,category3,2023-01-14
584,value584,category4,2023-01-15
585,value585,category0,2023-01-16
586,value586,category1,2023-01-17
587,value587,category2,2023-01-18
588,value588,category3,2023-01-19
589,value589,category4,2023-01-20
590,value590,category0,2023-01-21
591,value591,category1,2023-01-22
592,value592,category2,2023-01-23
593,value593,category3,2023-01-24
594,value594,category4,2023-01-25
595,value595,category0,2023-01-26
596,value596,category1,2023-01-27
597,value597,category2,2023-01-28
598,value598,category3,2023-01-29
599,value599,category4,2023-01-30
600,value600,category0,2023-01-01
601,value601,category1,2023-01-02
602,value602,category2,2023-01-03
603,value603,category3,2023-01-04
604,value604,category4,2023-01-05
605,value605,category0,2023-01-06
606,value606,category1,2023-01-07
607,value607,category2,2023-01-08
608,value608,category3,2023-01-09
609,value609,category4,2023-01-10
610,value610,category0,2023-01-11
611,value611,category1,2023-01-12
612,value612,category2,2023-01-13
613,value613,category3,2023-01-14
614,value614,category4,2023-01-15
615,value615,category0,2023-01-16
616,value616,category1,2023-01-17
617,value617,category2,2023-01-18
618,value618,category3,2023-01-19
619,value619,category4,2023-01-20
620,value620,category0,2023-01-21
621,value621,category1,2023-01-22
622,value622,category2,2023-01-23
623,value623,category3,2023-01-24
624,value624,category4,2023-01-25
625,value625,category0,2023-01-26
626,value626,category1,2023-01-27
627,value627,category2,2023-01-28
628,value628,category3,2023-01-29
629,value629,category4,2023-01-30
630,value630,category0,2023-01-01
631,value631,category1,2023-01-02
632,value632,category2,2023-01-03
633,value633,category3,2023-01-04
634,value634,category4,2023-01-05
635,value635,category0,2023-01-06
636,value636,category1,2023-01-07
637,value637,category2,2023-01-08
638,value638,category3,2023-01-09
639,value639,category4,2023-01-10
640,value640,category0,2023-01-11
641,value641,category1,2023-01-12
642,value642,category2,2023-01-13
643,value643,category3,2023-01-14
644,value644,category4,2023-01-15
645,value645,category0,2023-01-16
646,value646,category1,2023-01-17
647,value647,category2,2023-01-18
648,value648,category3,2023-01-19
649,value649,category4,2023-01-20
650,value650,category0,2023-01-21
651,value651,category1,2023-01-22
652,value652,category2,2023-01-23
653,value653,category3,2023-01-24
654,value654,category4,2023-01-25
655,value655,category0,2023-01-26
656,value656,category1,2023-01-27
657,value657,category2,2023-01-28
658,value658,category3,2023-01-29
659,value659,category4,2023-01-30
660,value660,category0,2023-01-01
661,value661,category1,2023-01-02
662,value662,category2,2023-01-03
663,value663,category3,2023-01-04
664,value664,category4,2023-01-05
665,value665,category0,2023-01-06
666,value666,category1,2023-01-07
667,value667,category2,2023-01-08
668,value668,category3,2023-01-09
669,value669,category4,2023-01-10
670,value670,category0,2023-01-11
671,value671,category1,2023-01-12
672,value672,category2,2023-01-13
673,value673,category3,2023-01-14
674,value674,category4,2023-01-15
675,value675,category0,2023-01-16
676,value676,category1,2023-01-17
677,value677,category2,2023-01-18
678,value678,category3,2023-01-19
679,value679,category4,2023-01-20
680,value680,category0,2023-01-21
681,value681,category1,2023-01-22
682,value682,category2,2023-01-23
683,value683,category3,2023-01-24
684,value684,category4,2023-01-25
685,value685,category0,2023-01-26
686,value686,category1,2023-01-27
687,value687,category2,2023-01-28
688,value688,category3,2023-01-29
689,value689,category4,2023-01-30
690,value690,category0,2023-01-01
691,value691,category1,2023-01-02
692,value692,category2,2023-01-03
693,value693,category3,2023-01-04
694,value694,category4,2023-01-05
695,value695,category0,2023-01-06
696,value696,category1,2023-01-07
697,value697,category2,2023-01-08
698,value698,category3,2023-01-09
699,value699,category4,2023-01-10
700,value700,category0,2023-01-11
701,value701,category1,2023-01-12
702,value702,category2,2023-01-13
703,value703,category3,2023-01-14
704,value704,category4,2023-01-15
705,value705,category0,2023-01-16
706,value706,category1,2023-01-17
707,value707,category2,2023-01-18
708,value708,category3,2023-01-19
709,value709,category4,2023-01-20
710,value710,category0,2023-01-21
711,value711,category1,2023-01-22
712,value712,category2,2023-01-23
713,value713,category3,2023-01-24
714,value714,category4,2023-01-25
715,value715,category0,2023-01-26
716,value716,category1,2023-01-27
717,value717,category2,2023-01-28
718,value718,category3,2023-01-29
719,value719,category4,2023-01-30
720,value720,category0,2023-01-01
721,value721,category1,2023-01-02
722,value722,category2,2023-01-03
723,value723,category3,2023-01-04
724,value724,category4,2023-01-05
725,value725,category0,2023-01-06
726,value726,category1,2023-01-07
727,value727,category2,2023-01-08
728,value728,category3,2023-01-09
729,value729,category4,2023-01-10
730,value730,category0,2023-01-11
731,value731,category1,2023-01-12
732,value732,category2,2023-01-13
733,value733,category3,2023-01-14
734,value734,category4,2023-01-15
735,value735,category0,2023-01-16
736,value736,category1,2023-01-17
737,value737,category2,2023-01-18
738,value738,category3,2023-01-19
739,value739,category4,2023-01-20
740,value740,category0,2023-01-21
741,value741,category1,2023-01-22
742,value742,category2,2023-01-23
743,value743,category3,2023-01-24
744,value744,category4,2023-01-25
745,value745,category0,2023-01-26
746,value746,category1,2023-01-27
747,value747,category2,2023-01-28
748,value748,category3,2023-01-29
749,value749,category4,2023-01-30
750,value750,category0,2023-01-01
751,value751,category1,2023-01-02
752,value752,category2,2023-01-03
753,value753,category3,2023-01-04
754,value754,category4,2023-01-05
755,value755,category0,2023-01-06
756,value756,category1,2023-01-07
757,value757,category2,2023-01-08
758,value758,category3,2023-01-09
759,value759,category4,2023-01-10
760,value760,category0,2023-01-11
761,value761,category1,2023-01-12
762,value762,category2,2023-01-13
763,value763,category3,2023-01-14
764,value764,category4,2023-01-15
765,value765,category0,2023-01-16
766,value766,category1,2023-01-17
767,value767,category2,2023-01-18
768,value768,category3,2023-01-19
769,value769,category4,2023-01-20
770,value770,category0,2023-01-21
771,value771,category1,2023-01-22
772,value772,category2,2023-01-23
773,value773,category3,2023-01-24
774,value774,category4,2023-01-25
775,value775,category0,2023-01-26
776,value776,category1,2023-01-27
777,value777,category2,2023-01-28
778,value778,category3,2023-01-29
779,value779,category4,2023-01-30
780,value780,category0,2023-01-01
781,value781,category1,2023-01-02
782,value782,category2,2023-01-03
783,value783,category3,2023-01-04
784,value784,category4,2023-01-05
785,value785,category0,2023-01-06
786,value786,category1,2023-01-07
787,value787,category2,2023-01-08
788,value788,category3,2023-01-09
789,value789,category4,2023-01-10
790,value790,category0,2023-01-11
791,value791,category1,2023-01-12
792,value792,category2,2023-01-13
793,value793,category3,2023-01-14
794,value794,category4,2023-01-15
795,value795,category0,2023-01-16
796,value796,category1,2023-01-17
797,value797,category2,2023-01-18
798,value798,category3,2023-01-19
799,value799,category4,2023-01-20
800,value800,category0,2023-01-21
801,value801,category1,2023-01-22
802,value802,category2,2023-01-23
803,value803,category3,2023-01-24
804,value804,category4,2023-01-25
805,value805,category0,2023-01-26
806,value806,category1,2023-01-27
807,value807,category2,2023-01-28
808,value808,category3,2023-01-29
809,value809,category4,2023-01-30
810,value810,category0,2023-01-01
811,value811,category1,2023-01-02
812,value812,category2,2023-01-03
813,value813,category3,2023-01-04
814,value814,category4,2023-01-05
815,value815,category0,2023-01-06
816,value816,category1,2023-01-07
817,value817,category2,2023-01-08
818,value818,category3,2023-01-09
819,value819,category4,2023-01-10
820,value820,category0,2023-01-11
821,value821,category1,2023-01-12
822,value822,category2,2023-01-13
823,value823,category3,2023-01-14
824,value824,category4,2023-01-15
825,value825,category0,2023-01-16
826,value826,category1,2023-01-17
827,value827,category2,2023-01-18
828,value828,category3,2023-01-19
829,value829,category4,2023-01-20
830,value830,category0,2023-01-21
831,value831,category1,2023-01-22
832,value832,category2,2023-01-23
833,value833,category3,2023-01-24
834,value834,category4,2023-01-25
835,value835,category0,2023-01-26
836,value836,category1,2023-01-27
837,value837,category2,2023-01-28
838,value838,category3,2023-01-29
839,value839,category4,2023-01-30
840,value840,category0,2023-01-01
841,value841,category1,2023-01-02
842,value842,category2,2023-01-03
843,value843,category3,2023-01-04
844,value844,category4,2023-01-05
845,value845,category0,2023-01-06
846,value846,category1,2023-01-07
847,value847,category2,2023-01-08
848,value848,category3,2023-01-09
849,value849,category4,2023-01-10
850,value850,category0,2023-01-11
851,value851,category1,2023-01-12
852,value852,category2,2023-01-13
853,value853,category3,2023-01-14
854,value854,category4,2023-01-15
855,value855,category0,2023-01-16
856,value856,category1,2023-01-17
857,value857,category2,2023-01-18
858,value858,category3,2023-01-19
859,value859,category4,2023-01-20
860,value860,category0,2023-01-21
861,value861,category1,2023-01-22
862,value862,category2,2023-01-23
863,value863,category3,2023-01-24
864,value864,category4,2023-01-25
865,value865,category0,2023-01-26
866,value866,category1,2023-01-27
867,value867,category2,2023-01-28
868,value868,category3,2023-01-29
869,value869,category4,2023-01-30
870,value870,category0,2023-01-01
871,value871,category1,2023-01-02
872,value872,category2,2023-01-03
873,value873,category3,2023-01-04
874,value874,category4,2023-01-05
875,value875,category0,2023-01-06
876,value876,category1,2023-01-07
877,value877,category2,2023-01-08
878,value878,category3,2023-01-09
879,value879,category4,2023-01-10
880,value880,category0,2023-01-11
881,value881,category1,2023-01-12
882,value882,category2,2023-01-13
883,value883,category3,2023-01-14
884,value884,category4,2023-01-15
885,value885,category0,2023-01-16
886,value886,category1,2023-01-17
887,value887,category2,2023-01-18
888,value888,category3,2023-01-19
889,value889,category4,2023-01-20
890,value890,category0,2023-01-21
891,value891,category1,2023-01-22
892,value892,category2,2023-01-23
893,value893,category3,2023-01-24
894,value894,category4,2023-01-25
895,value895,category0,2023-01-26
896,value896,category1,2023-01-27
897,value897,category2,2023-01-28
898,value898,category3,2023-01-29
899,value899,category4,2023-01-30
900,value900,category0,2023-01-01
901,value901,category1,2023-01-02
902,value902,category2,2023-01-03
903,value903,category3,2023-01-04
904,value904,category4,2023-01-05
905,value905,category0,2023-01-06
906,value906,category1,2023-01-07
907,value907,category2,2023-01-08
908,value908,category3,2023-01-09
909,value909,category4,2023-01-10
910,value910,category0,2023-01-11
911,value911,category1,2023-01-12
912,value912,category2,2023-01-13
913,value913,category3,2023-01-14
914,value914,category4,2023-01-15
915,value915,category0,2023-01-16
916,value916,category1,2023-01-17
917,value917,category2,2023-01-18
918,value918,category3,2023-01-19
919,value919,category4,2023-01-20
920,value920,category0,2023-01-21
921,value921,category1,2023-01-22
922,value922,category2,2023-01-23
923,value923,category3,2023-01-24
924,value924,category4,2023-01-25
925,value925,category0,2023-01-26
926,value926,category1,2023-01-27
927,value927,category2,2023-01-28
928,value928,category3,2023-01-29
929,value929,category4,2023-01-30
930,value930,category0,2023-01-01
